case,method,nfev,elapsed_s,cost,success,decision_variables,rmse_V,rmse_alpha,rmse_gamma,rmse_Q,theta_C_L0,theta_C_L_alpha,theta_C_D0,theta_k,theta_C_M0,theta_C_M_alpha,theta_C_M_Q,theta_C_M_delta_e,errpct_C_L0,errpct_C_L_alpha,errpct_C_D0,errpct_k,errpct_C_M0,errpct_C_M_alpha,errpct_C_M_Q,errpct_C_M_delta_e
noise_only,SS,80,18.329670706996694,8078276.211665467,False,12,4.455067904256208,0.086361774278946,0.3329232572296116,0.2391036110525818,0.22604809234927895,5.802630643115036,0.0367881751794977,0.0008235272834669438,0.006793307371948358,0.4054735043586282,-35.338537949002614,0.46390585730405615,126.04809234927895,93.42102143716785,22.627250598325674,99.17647271653306,86.41338525610328,167.57891739310472,194.48781624168845,22.68235711599064
noise_only,MS,19,5.576249347999692,2964.401948910144,True,32,0.005001738618904731,0.00021945506784347424,0.00035656282416221855,0.0007538806973080303,0.10017747518184612,3.0078107803175467,0.029949768545832537,0.10018271462618185,0.05006765004539272,-0.6021941627750745,-12.042115286827553,0.6022555792670242,0.17747518184611788,0.26035934391822246,0.1674381805582062,0.18271462618184298,0.1353000907854396,0.36569379584575995,0.3509607235629394,0.37592987783737397
lag_limit_gust_mismatch,SS,80,19.39475489499455,6850358.093322865,False,12,4.130005045733532,0.05331503661374633,0.31146547503573296,0.2220143567856422,-0.07360699797470123,5.782017961307747,0.04150272357867081,0.01444875234078245,-0.012415801228343152,0.4521654298698141,-36.227613802676814,0.6971341423786712,173.60699797470124,92.73393204359157,38.342411928902706,85.55124765921754,124.8316024566863,175.36090497830236,201.89678168897345,16.18902372977854
lag_limit_gust_mismatch,MS,20,6.059914835001109,10770.19471868017,True,32,0.1559816677655665,0.002054739899340916,0.00914810507883429,0.012797837141336704,0.0896118459715005,3.182615342732173,0.036308376153675145,0.075010035719949,0.047415444849009475,-0.5718605317449663,-11.187582492066685,0.5648085865700673,10.388154028499505,6.087178091072435,21.02792051225049,24.989964280050998,5.169110301981056,4.689911375838944,6.770145899444291,5.865235571655451
