case,method,elapsed_s,decision_variables,train_score,rmse_V,rmse_alpha,rmse_gamma,rmse_Q,theta_C_L0,theta_C_L_alpha,theta_C_D0,theta_k,theta_C_M0,theta_C_M_alpha,theta_C_M_Q,theta_C_M_delta_e,errpct_C_L0,errpct_C_L_alpha,errpct_C_D0,errpct_k,errpct_C_M0,errpct_C_M_alpha,errpct_C_M_Q,errpct_C_M_delta_e
noise_only,PINN,10.100306002001162,8716,0.03647054843861883,0.18968722605419816,0.0173174796126835,0.012638845261118204,0.0941408879849208,0.027119663,4.310977,0.025006816,0.18288352,0.07135497,-0.9325022,-29.453886,0.32760146,72.88033738732338,43.69923273722331,16.643947362899777,82.88351595401762,42.70994067192077,55.41703502337138,145.44905026753742,45.39975623289744
lag_limit_gust_mismatch,PINN,9.700506483997742,8716,0.039383730500420155,0.18054483166233806,0.01686057651526212,0.009775335753259881,0.09713135735297686,0.017530452,4.385641,0.028191034,0.19629215,0.072253644,-0.9432418,-30.930138,0.3274122,82.46954753994942,46.1880366007487,6.029887497425076,96.29214704036711,44.507288932800286,57.206962505976364,157.75114695231122,45.431301991144814
