case,method,elapsed_s,decision_variables,train_score,rmse_V,rmse_alpha,rmse_gamma,rmse_Q,theta_C_L0,theta_C_L_alpha,theta_C_D0,theta_k,theta_C_M0,theta_C_M_alpha,theta_C_M_Q,theta_C_M_delta_e,errpct_C_L0,errpct_C_L_alpha,errpct_C_D0,errpct_k,errpct_C_M0,errpct_C_M_alpha,errpct_C_M_Q,errpct_C_M_delta_e
noise_only,UDE,89.82948493499862,4876,0.004917039978495692,0.10144971370994955,0.0015067984977993945,0.007272595186360612,0.005941089456452928,0.06046618,4.1012306,0.06274214,0.30727586,0.09767011,-0.41141838,-29.461226,0.8293585,39.53381851315499,36.70768737792969,109.1404547293981,207.27586150169373,95.34021615982054,31.430270274480183,145.51021258036297,38.226419687271125
lag_limit_gust_mismatch,UDE,113.55075417499756,4876,0.0166726522488288,0.35676011161755683,0.005271988566993413,0.01831259883107409,0.017186647494789282,0.06534308,4.0511208,0.06487909,0.30168095,0.08683768,-0.35704577,-28.5711,0.63271916,34.65691804885865,35.037358601888016,116.26363197962444,201.68095231056213,73.67535829544066,40.49237171808878,138.09250195821124,5.4531931877136275
