split,observation_rate_hz,nyquist_hz,stride_from_100hz,samples_per_trial,rmse_V,rmse_alpha,rmse_gamma,rmse_Q
train,100.0,50.0,1.0,4001.0,0.35659378452270446,0.0009638337641309499,0.001076568578768862,0.009471247615681206
train,10.0,5.0,10.0,401.0,0.5925011468027463,0.0015784642727662327,0.0019573791854688044,0.01232405349062616
train,2.0,1.0,50.0,81.0,1.3806719860194125,0.019337826169664948,0.03565871277570236,0.06817853324754555
validation,100.0,50.0,1.0,4001.0,0.3969776393957882,0.000986605790681145,0.0010954386999337065,0.009522120727506647
validation,10.0,5.0,10.0,401.0,0.659231758748459,0.0016310435214451414,0.0020082610181321146,0.01267536684080743
validation,2.0,1.0,50.0,81.0,1.5181965362768066,0.019708103580165056,0.03540205850836371,0.0746365143827875
