scope,takeoff_windows,rollout_windows,samples,mu_eff,cv2_per_m,k_batt_per_s,thrust_loss_30min_pct,dmu_dkT,thrust_prior_kT,kT_if_mu_0.05,kT_if_mu_0.08,kT_if_mu_0.12,rmse_mps2
pooled,12,3,6114,-0.0157113770988685,0.0206795559148302,0.00018742467805988455,33.73644205077922,0.162595971402798,1.0,1.404,1.589,1.835,1.1339997562295352
auto_rosbag2_2026_05_22-15_03_31,,,1329,,,0.004375927020527531,,,1.1229594256456827,,,,0.44806168681217273
badrosbag2_2026_05_22-15_56_13,,,747,,,0.26641533534412376,,,-0.040093025666980496,,,,1.0773374451813584
elev3211_2026_05_22-15_47_14,,,1097,,,0.18365174726259353,,,-0.5005903920038367,,,,0.8797380578828128
elevDoublet_rosbag2_2026_05_22-16_01_17,,,440,,,0.008879450735033436,,,1.5017497200727286,,,,0.657621290680872
rosbag2_2026_05_22-15_57_43,,,1506,,,0.012399849414388424,,,1.2111981171246635,,,,1.2079777058130732
trim_2026_05_22-15_43_38,,,995,,,0.01880928231990429,,,0.8023342031843663,,,,0.4981818223704721
